DATE,CPILFENS_PC1
1958-01-01,3.15789
1958-02-01,3.15789
1958-03-01,2.78746
1958-04-01,2.43056
1958-05-01,2.43056
1958-06-01,2.07612
1958-07-01,2.42215
1958-08-01,2.06897
1958-09-01,1.71821
1958-10-01,1.71233
1958-11-01,1.70068
1958-12-01,1.70068
1959-01-01,1.70068
1959-02-01,1.70068
1959-03-01,1.69492
1959-04-01,1.69492
1959-05-01,2.03390
1959-06-01,2.03390
1959-07-01,2.02703
1959-08-01,2.02703
1959-09-01,2.36486
1959-10-01,2.69360
1959-11-01,2.00669
1959-12-01,2.00669
1960-01-01,2.00669
1960-02-01,2.34114
1960-03-01,2.00000
1960-04-01,2.00000
1960-05-01,1.66113
1960-06-01,1.66113
1960-07-01,1.32450
1960-08-01,1.32450
1960-09-01,0.99010
1960-10-01,0.98361
1960-11-01,0.98361
1960-12-01,0.98361
1961-01-01,0.98361
1961-02-01,0.65359
1961-03-01,0.65359
1961-04-01,0.98039
1961-05-01,0.98039
1961-06-01,0.98039
1961-07-01,1.30719
1961-08-01,1.30719
1961-09-01,1.63399
1961-10-01,1.29870
1961-11-01,1.29870
1961-12-01,1.29870
1962-01-01,1.29870
1962-02-01,1.29870
1962-03-01,1.62338
1962-04-01,1.29450
1962-05-01,1.61812
1962-06-01,1.61812
1962-07-01,1.29032
1962-08-01,1.29032
1962-09-01,1.28617
1962-10-01,1.28205
1962-11-01,1.28205
1962-12-01,1.28205
1963-01-01,0.96154
1963-02-01,0.96154
1963-03-01,0.95847
1963-04-01,1.27796
1963-05-01,0.95541
1963-06-01,1.27389
1963-07-01,1.27389
1963-08-01,1.59236
1963-09-01,1.26984
1963-10-01,1.26582
1963-11-01,1.58228
1963-12-01,1.58228
1964-01-01,1.90476
1964-02-01,1.90476
1964-03-01,1.89873
1964-04-01,1.57729
1964-05-01,1.57729
1964-06-01,1.57233
1964-07-01,1.57233
1964-08-01,0.94044
1964-09-01,1.25392
1964-10-01,1.25000
1964-11-01,1.24611
1964-12-01,1.24611
1965-01-01,1.55763
1965-02-01,1.55763
1965-03-01,1.24224
1965-04-01,1.55280
1965-05-01,1.55280
1965-06-01,1.23839
1965-07-01,1.23839
1965-08-01,1.55280
1965-09-01,1.54799
1965-10-01,1.54321
1965-11-01,1.23077
1965-12-01,1.53846
1966-01-01,0.92025
1966-02-01,1.22699
1966-03-01,1.53374
1966-04-01,1.83486
1966-05-01,2.14067
1966-06-01,2.44648
1966-07-01,2.75229
1966-08-01,3.05810
1966-09-01,3.04878
1966-10-01,3.34347
1966-11-01,3.64742
1966-12-01,3.33333
1967-01-01,3.64742
1967-02-01,3.63636
1967-03-01,3.62538
1967-04-01,3.30330
1967-05-01,3.29341
1967-06-01,3.28358
1967-07-01,3.27381
1967-08-01,3.26409
1967-09-01,3.55030
1967-10-01,3.52941
1967-11-01,3.51906
1967-12-01,3.81232
1968-01-01,4.10557
1968-02-01,4.09357
1968-03-01,4.37318
1968-04-01,4.36047
1968-05-01,4.34783
1968-06-01,4.62428
1968-07-01,4.89914
1968-08-01,4.88506
1968-09-01,4.85714
1968-10-01,4.82955
1968-11-01,5.09915
1968-12-01,5.08475
1969-01-01,5.07042
1969-02-01,5.33708
1969-03-01,5.58659
1969-04-01,6.12813
1969-05-01,6.11111
1969-06-01,5.80110
1969-07-01,5.76923
1969-08-01,5.75342
1969-09-01,5.99455
1969-10-01,5.96206
1969-11-01,5.92992
1969-12-01,6.18280
1970-01-01,6.16622
1970-02-01,6.13333
1970-03-01,6.08466
1970-04-01,5.77428
1970-05-01,6.02094
1970-06-01,6.52742
1970-07-01,6.23377
1970-08-01,6.21762
1970-09-01,6.16967
1970-10-01,6.39386
1970-11-01,6.61578
1970-12-01,6.58228
1971-01-01,6.31313
1971-02-01,5.77889
1971-03-01,5.23691
1971-04-01,4.96278
1971-05-01,5.18519
1971-06-01,4.90196
1971-07-01,4.88998
1971-08-01,4.63415
1971-09-01,4.35835
1971-10-01,3.84615
1971-11-01,3.34129
1971-12-01,3.08789
1972-01-01,3.08789
1972-02-01,3.32542
1972-03-01,3.31754
1972-04-01,3.30969
1972-05-01,3.05164
1972-06-01,2.80374
1972-07-01,2.79720
1972-08-01,3.26340
1972-09-01,2.78422
1972-10-01,3.00926
1972-11-01,3.00231
1972-12-01,2.99539
1973-01-01,2.76498
1973-02-01,2.75862
1973-03-01,2.98165
1973-04-01,3.20366
1973-05-01,3.18907
1973-06-01,3.18182
1973-07-01,3.17460
1973-08-01,3.16027
1973-09-01,3.83747
1973-10-01,4.26966
1973-11-01,4.48430
1973-12-01,4.69799
1974-01-01,4.93274
1974-02-01,5.36913
1974-03-01,5.79065
1974-04-01,6.20843
1974-05-01,6.84327
1974-06-01,7.92952
1974-07-01,8.79121
1974-08-01,9.62801
1974-09-01,10.21739
1974-10-01,10.56034
1974-11-01,11.15880
1974-12-01,11.11111
1975-01-01,11.53846
1975-02-01,11.67728
1975-03-01,11.36842
1975-04-01,11.27349
1975-05-01,10.53719
1975-06-01,9.59184
1975-07-01,9.09091
1975-08-01,8.18363
1975-09-01,7.69231
1975-10-01,7.01754
1975-11-01,6.75676
1975-12-01,6.73077
1976-01-01,6.70498
1976-02-01,6.46388
1976-03-01,6.61626
1976-04-01,6.37899
1976-05-01,6.54206
1976-06-01,6.51769
1976-07-01,6.66667
1976-08-01,6.82657
1976-09-01,6.77656
1976-10-01,6.73953
1976-11-01,6.50995
1976-12-01,6.12613
1977-01-01,6.28366
1977-02-01,6.25000
1977-03-01,6.20567
1977-04-01,6.34921
1977-05-01,6.31579
1977-06-01,6.64336
1977-07-01,6.25000
1977-08-01,6.21762
1977-09-01,6.17496
1977-10-01,5.97270
1977-11-01,5.94228
1977-12-01,6.45161
1978-01-01,6.41892
1978-02-01,6.21849
1978-03-01,6.34391
1978-04-01,6.46766
1978-05-01,6.76568
1978-06-01,7.04918
1978-07-01,7.35294
1978-08-01,7.47967
1978-09-01,7.91599
1978-10-01,8.37359
1978-11-01,8.65385
1978-12-01,8.45295
1979-01-01,8.57143
1979-02-01,9.17722
1979-03-01,9.26217
1979-04-01,9.34579
1979-05-01,9.42813
1979-06-01,9.34150
1979-07-01,9.58904
1979-08-01,9.98487
1979-09-01,9.88024
1979-10-01,10.10401
1979-11-01,10.61947
1979-12-01,11.32353
1980-01-01,11.98830
1980-02-01,12.02899
1980-03-01,12.50000
1980-04-01,12.96296
1980-05-01,13.27684
1980-06-01,13.58543
1980-07-01,12.36111
1980-08-01,11.82944
1980-09-01,11.98910
1980-10-01,12.28070
1980-11-01,12.13333
1980-12-01,12.15324
1981-01-01,11.35770
1981-02-01,10.86675
1981-03-01,9.96169
1981-04-01,9.45776
1981-05-01,9.47631
1981-06-01,9.37115
1981-07-01,11.12485
1981-08-01,11.56212
1981-09-01,11.80049
1981-10-01,10.93750
1981-11-01,10.22592
1981-12-01,9.54064
1982-01-01,9.26143
1982-02-01,9.10152
1982-03-01,8.82695
1982-04-01,8.87097
1982-05-01,8.65604
1982-06-01,8.56821
1982-07-01,7.56396
1982-08-01,7.05623
1982-09-01,5.87595
1982-10-01,5.85049
1982-11-01,5.28587
1982-12-01,4.51613
1983-01-01,4.72103
1983-02-01,4.70588
1983-03-01,4.69584
1983-04-01,4.33862
1983-05-01,3.56394
1983-06-01,2.90758
1983-07-01,2.99897
1983-08-01,2.98661
1983-09-01,3.49435
1983-10-01,3.68475
1983-11-01,4.30328
1983-12-01,4.83539
1984-01-01,4.81557
1984-02-01,4.80082
1984-03-01,4.99490
1984-04-01,4.96957
1984-05-01,5.16194
1984-06-01,5.14632
1984-07-01,5.02008
1984-08-01,5.10000
1984-09-01,5.06455
1984-10-01,4.93583
1984-11-01,4.61690
1984-12-01,4.71050
1985-01-01,4.49658
1985-02-01,4.67836
1985-03-01,4.75728
1985-04-01,4.54106
1985-05-01,4.52358
1985-06-01,4.41459
1985-07-01,4.20650
1985-08-01,4.09134
1985-09-01,3.96975
1985-10-01,4.13923
1985-11-01,4.41315
1985-12-01,4.31115
1986-01-01,4.39663
1986-02-01,4.18994
1986-03-01,4.07785
1986-04-01,4.15896
1986-05-01,3.95948
1986-06-01,3.95221
1986-07-01,4.12844
1986-08-01,4.02194
1986-09-01,4.09091
1986-10-01,3.97471
1986-11-01,3.77698
1986-12-01,3.77358
1987-01-01,3.76344
1987-02-01,3.75335
1987-03-01,4.00712
1987-04-01,4.17036
1987-05-01,4.16298
1987-06-01,4.06720
1987-07-01,3.96476
1987-08-01,4.21793
1987-09-01,4.27948
1987-10-01,4.34405
1987-11-01,4.41941
1987-12-01,4.24242
1988-01-01,4.31779
1988-02-01,4.30663
1988-03-01,4.36644
1988-04-01,4.25894
1988-05-01,4.33673
1988-06-01,4.50297
1988-07-01,4.49153
1988-08-01,4.38449
1988-09-01,4.43886
1988-10-01,4.49625
1988-11-01,4.39834
1988-12-01,4.65116
1989-01-01,4.63576
1989-02-01,4.78943
1989-03-01,4.67596
1989-04-01,4.57516
1989-05-01,4.56398
1989-06-01,4.47154
1989-07-01,4.62287
1989-08-01,4.44265
1989-09-01,4.25020
1989-10-01,4.30279
1989-11-01,4.37202
1989-12-01,4.36508
1990-01-01,4.43038
1990-02-01,4.64933
1990-03-01,4.93730
1990-04-01,4.84375
1990-05-01,4.75448
1990-06-01,4.90272
1990-07-01,5.03876
1990-08-01,5.49111
1990-09-01,5.53846
1990-10-01,5.27120
1990-11-01,5.25514
1990-12-01,5.17110
1991-01-01,5.60606
1991-02-01,5.64759
1991-03-01,5.22778
1991-04-01,5.14158
1991-05-01,5.13393
1991-06-01,4.97033
1991-07-01,4.79705
1991-08-01,4.61877
1991-09-01,4.51895
1991-10-01,4.42671
1991-11-01,4.48625
1991-12-01,4.41070
1992-01-01,3.94548
1992-02-01,3.77762
1992-03-01,3.90348
1992-04-01,3.89794
1992-05-01,3.82166
1992-06-01,3.81625
1992-07-01,3.73239
1992-08-01,3.50385
1992-09-01,3.27755
1992-10-01,3.54413
1992-11-01,3.39335
1992-12-01,3.32410
1993-01-01,3.45066
1993-02-01,3.57143
1993-03-01,3.41530
1993-04-01,3.47885
1993-05-01,3.40832
1993-06-01,3.33560
1993-07-01,3.19077
1993-08-01,3.31754
1993-09-01,3.24105
1993-10-01,3.02013
1993-11-01,3.08104
1993-12-01,3.15013
1994-01-01,2.93529
1994-02-01,2.78515
1994-03-01,2.90621
1994-04-01,2.76862
1994-05-01,2.83454
1994-06-01,2.89855
1994-07-01,2.89474
1994-08-01,2.88336
1994-09-01,3.00850
1994-10-01,2.93160
1994-11-01,2.79402
1994-12-01,2.59909
1995-01-01,2.85159
1995-02-01,2.96774
1995-03-01,2.95250
1995-04-01,3.07890
1995-05-01,3.07692
1995-06-01,3.00896
1995-07-01,3.00512
1995-08-01,2.92994
1995-09-01,2.92063
1995-10-01,3.03797
1995-11-01,3.03413
1995-12-01,3.03990
1996-01-01,2.96156
1996-02-01,2.88221
1996-03-01,2.80549
1996-04-01,2.67579
1996-05-01,2.67413
1996-06-01,2.67247
1996-07-01,2.73122
1996-08-01,2.59901
1996-09-01,2.65268
1996-10-01,2.57985
1996-11-01,2.57669
1996-12-01,2.64290
1997-01-01,2.50918
1997-02-01,2.49695
1997-03-01,2.48636
1997-04-01,2.66667
1997-05-01,2.54391
1997-06-01,2.42131
1997-07-01,2.41692
1997-08-01,2.29192
1997-09-01,2.16346
1997-10-01,2.27545
1997-11-01,2.15311
1997-12-01,2.21557
1998-01-01,2.20896
1998-02-01,2.25787
1998-03-01,2.13018
1998-04-01,2.12515
1998-05-01,2.24454
1998-06-01,2.24586
1998-07-01,2.24189
1998-08-01,2.47642
1998-09-01,2.47059
1998-10-01,2.28337
1998-11-01,2.34192
1998-12-01,2.40187
1999-01-01,2.39486
1999-02-01,2.09181
1999-03-01,2.08575
1999-04-01,2.19653
1999-05-01,2.02195
1999-06-01,2.08092
1999-07-01,2.07732
1999-08-01,1.89873
1999-09-01,2.00918
1999-10-01,2.06068
1999-11-01,2.05950
1999-12-01,1.94508
2000-01-01,1.99658
2000-02-01,2.16278
2000-03-01,2.44041
2000-04-01,2.31900
2000-05-01,2.43488
2000-06-01,2.49151
2000-07-01,2.48728
2000-08-01,2.59740
2000-09-01,2.58863
2000-10-01,2.52384
2000-11-01,2.57848
2000-12-01,2.58137
2001-01-01,2.62864
2001-02-01,2.72981
2001-03-01,2.65928
2001-04-01,2.59812
2001-05-01,2.54284
2001-06-01,2.70718
2001-07-01,2.70270
2001-08-01,2.69675
2001-09-01,2.63302
2001-10-01,2.62582
2001-11-01,2.78689
2001-12-01,2.73523
2002-01-01,2.56131
2002-02-01,2.60304
2002-03-01,2.42849
2002-04-01,2.53233
2002-05-01,2.53369
2002-06-01,2.25928
2002-07-01,2.20193
2002-08-01,2.35798
2002-09-01,2.24479
2002-10-01,2.23881
2002-11-01,1.96704
2002-12-01,1.91693
2003-01-01,1.91286
2003-02-01,1.74419
2003-03-01,1.68599
2003-04-01,1.47136
2003-05-01,1.57729
2003-06-01,1.52551
2003-07-01,1.52391
2003-08-01,1.30890
2003-09-01,1.20230
2003-10-01,1.30344
2003-11-01,1.09489
2003-12-01,1.14943
2004-01-01,1.14703
2004-02-01,1.24675
2004-03-01,1.60622
2004-04-01,1.76075
2004-05-01,1.70807
2004-06-01,1.86528
2004-07-01,1.75983
2004-08-01,1.70543
2004-09-01,1.96281
2004-10-01,2.00721
2004-11-01,2.16606
2004-12-01,2.16942
2005-01-01,2.26804
2005-02-01,2.36018
2005-03-01,2.34574
2005-04-01,2.23919
2005-05-01,2.18830
2005-06-01,2.03459
2005-07-01,2.13632
2005-08-01,2.13415
2005-09-01,1.97568
2005-10-01,2.06862
2005-11-01,2.12014
2005-12-01,2.17391
2006-01-01,2.11694
2006-02-01,2.05514
2006-03-01,2.09268
2006-04-01,2.28970
2006-05-01,2.44024
2006-06-01,2.64207
2006-07-01,2.68924
2006-08-01,2.83582
2006-09-01,2.93095
2006-10-01,2.71873
2006-11-01,2.61987
2006-12-01,2.57298
2007-01-01,2.66979
2007-02-01,2.70727
2007-03-01,2.45144
2007-04-01,2.34112
2007-05-01,2.24404
2007-06-01,2.22147
2007-07-01,2.20951
2007-08-01,2.13401
2007-09-01,2.13707
2007-10-01,2.17421
2007-11-01,2.32900
2007-12-01,2.43898
2008-01-01,2.46576
2008-02-01,2.27342
2008-03-01,2.35467
2008-04-01,2.25761
2008-05-01,2.31271
2008-06-01,2.41312
2008-07-01,2.50954
2008-08-01,2.54132
2008-09-01,2.47321
2008-10-01,2.21602
2008-11-01,2.00297
2008-12-01,1.76308
2009-01-01,1.68013
2009-02-01,1.78570
2009-03-01,1.75598
2009-04-01,1.89901
2009-05-01,1.83474
2009-06-01,1.73043
2009-07-01,1.52977
2009-08-01,1.44127
2009-09-01,1.51018
2009-10-01,1.70857
2009-11-01,1.70474
2009-12-01,1.81629
2010-01-01,1.55362
2010-02-01,1.34001
2010-03-01,1.10685
2010-04-01,0.92314
2010-05-01,0.94237
2010-06-01,0.90385
2010-07-01,0.86984
2010-08-01,0.89027
2010-09-01,0.80404
2010-10-01,0.61070
2010-11-01,0.76820
2010-12-01,0.80445
2011-01-01,0.95008
2011-02-01,1.09201
2011-03-01,1.19018
2011-04-01,1.33474
2011-05-01,1.51045
2011-06-01,1.63876
2011-07-01,1.76536
2011-08-01,1.95124
2011-09-01,1.97470
2011-10-01,2.10015
2011-11-01,2.15331
2011-12-01,2.22954
2012-01-01,2.27746
2012-02-01,2.17657
2012-03-01,2.25535
2012-04-01,2.31351
2012-05-01,2.25712
2012-06-01,2.21796
2012-07-01,2.10025
2012-08-01,1.91346
2012-09-01,1.98463
2012-10-01,1.99918
2012-11-01,1.94129
2012-12-01,1.89336
2013-01-01,1.92530
2013-02-01,2.00426
2013-03-01,1.88734
2013-04-01,1.71520
2013-05-01,1.68117
2013-06-01,1.63608
2013-07-01,1.69601
2013-08-01,1.76458
2013-09-01,1.73412
2013-10-01,1.68024
2013-11-01,1.72098
2013-12-01,1.71707
2014-01-01,1.62125
2014-02-01,1.56734
2014-03-01,1.65671
2014-04-01,1.83205
2014-05-01,1.95621
2014-06-01,1.93332
2014-07-01,1.85892
2014-08-01,1.72374
2014-09-01,1.72884
2014-10-01,1.80769
2014-11-01,1.70249
2014-12-01,1.60638
2015-01-01,1.64891
2015-02-01,1.69777
2015-03-01,1.75339
2015-04-01,1.80751
2015-05-01,1.71828
2015-06-01,1.76228
2015-07-01,1.80484
2015-08-01,1.82756
2015-09-01,1.89164
2015-10-01,1.90967
2015-11-01,2.01757
2015-12-01,2.09570
2016-01-01,2.20692
2016-02-01,2.33128
2016-03-01,2.19483
2016-04-01,2.14638
2016-05-01,2.24063
2016-06-01,2.24465
2016-07-01,2.18944
2016-08-01,2.31897
2016-09-01,2.20744
2016-10-01,2.14480
2016-11-01,2.11083
2016-12-01,2.19666
2017-01-01,2.27172
2017-02-01,2.22362
2017-03-01,2.00196
2017-04-01,1.88265
2017-05-01,1.73343
2017-06-01,1.70303
2017-07-01,1.69207
2017-08-01,1.68440
2017-09-01,1.69259
2017-10-01,1.77355
2017-11-01,1.71129
2017-12-01,1.77575
2018-01-01,1.82140
2018-02-01,1.84755
2018-03-01,2.11708
2018-04-01,2.13915
2018-05-01,2.23718
2018-06-01,2.25503
2018-07-01,2.35417
2018-08-01,2.19916
